roll_deg,pitch_deg,yaw_deg,s_rad,s_deg,nearestPoleIndex,maxQError_deg,status,errorMessage
-30,-30,-30,0.722734247813415,41.4096221092708,1,1.90833280887811e-14,SAFE,
-30,-30,-25,0.668284897371992,38.2899041317485,1,1.27222187258541e-14,SAFE,
-30,-30,-20,0.620139006132054,35.5313477628042,1,1.90833280887811e-14,SAFE,
-30,-30,-15,0.579902088524707,33.2259422032876,1,6.36110936292703e-15,SAFE,
-30,-30,-10,0.549341490013219,31.4749488891855,1,6.36110936292703e-15,SAFE,
-30,-30,-5,0.530152600827388,30.3755065252932,1,7.95138670365879e-15,SAFE,
-30,-30,0,0.523598775598299,30,1,6.36110936292703e-15,SAFE,
-30,-30,5,0.530152600827388,30.3755065252932,1,6.36110936292703e-15,SAFE,
-30,-30,10,0.549341490013219,31.4749488891855,1,6.36110936292703e-15,SAFE,
-30,-30,15,0.579902088524707,33.2259422032876,1,6.36110936292703e-15,SAFE,
-30,-30,20,0.620139006132054,35.5313477628042,1,9.54166404439055e-15,SAFE,
-30,-30,25,0.668284897371992,38.2899041317485,1,9.54166404439055e-15,SAFE,
-30,-30,30,0.722734247813415,41.4096221092708,1,1.27222187258541e-14,SAFE,
-30,-25,-30,0.668284897371992,38.2899041317485,1,1.27222187258541e-14,SAFE,
-30,-25,-25,0.606945868705367,34.7754366697189,1,3.18055468146352e-15,SAFE,
-30,-25,-20,0.551669439719183,31.608330582256,1,6.36110936292703e-15,SAFE,
-30,-25,-15,0.504479664622674,28.9045556330544,1,6.36110936292703e-15,SAFE,
-30,-25,-10,0.467852210867062,26.8059571185473,1,1.27222187258541e-14,SAFE,
-30,-25,-5,0.444422714007972,25.4635458324064,1,3.18055468146352e-15,SAFE,
-30,-25,0,0.436332312998582,25,1,6.36110936292703e-15,SAFE,
-30,-25,5,0.444422714007972,25.4635458324064,1,1.27222187258541e-14,SAFE,
-30,-25,10,0.467852210867062,26.8059571185473,1,1.27222187258541e-14,SAFE,
-30,-25,15,0.504479664622674,28.9045556330544,1,6.36110936292703e-15,SAFE,
-30,-25,20,0.551669439719183,31.608330582256,1,6.36110936292703e-15,SAFE,
-30,-25,25,0.606945868705367,34.7754366697189,1,3.18055468146352e-15,SAFE,
-30,-25,30,0.668284897371992,38.2899041317485,1,6.36110936292703e-15,SAFE,
-30,-20,-30,0.620139006132054,35.5313477628042,1,1.90833280887811e-14,SAFE,
-30,-20,-25,0.551669439719183,31.608330582256,1,1.27222187258541e-14,SAFE,
-30,-20,-20,0.488533203591229,27.9908907177828,1,1.90833280887811e-14,SAFE,
-30,-20,-15,0.433089786289171,24.8142169045923,1,6.36110936292703e-15,SAFE,
-30,-20,-10,0.388662911728293,22.2687444952969,1,6.36110936292703e-15,SAFE,
-30,-20,-5,0.35937501593508,20.5906716755268,1,1.59027734073176e-14,SAFE,
-30,-20,0,0.349065850398866,20,1,6.36110936292703e-15,SAFE,
-30,-20,5,0.35937501593508,20.5906716755268,1,1.27222187258541e-14,SAFE,
-30,-20,10,0.388662911728293,22.2687444952969,1,6.36110936292703e-15,SAFE,
-30,-20,15,0.433089786289171,24.8142169045923,1,6.36110936292703e-15,SAFE,
-30,-20,20,0.488533203591229,27.9908907177828,1,6.36110936292703e-15,SAFE,
-30,-20,25,0.551669439719183,31.608330582256,1,6.36110936292703e-15,SAFE,
-30,-20,30,0.620139006132054,35.5313477628042,1,1.27222187258541e-14,SAFE,
-30,-15,-30,0.579902088524707,33.2259422032876,1,6.36110936292703e-15,SAFE,
-30,-15,-25,0.504479664622674,28.9045556330544,1,6.36110936292703e-15,SAFE,
