roll_deg,pitch_deg,yaw_deg,s,conditionNumber,maxQError_deg,status,errorMessage
-30,-30,-30,0.449449217461722,1.57782031994727,1.90833280887811e-14,SAFE,
-30,-30,-25,0.446019795876107,1.59941150560049,1.27222187258541e-14,SAFE,
-30,-30,-20,0.441591435364692,1.62577160111227,1.90833280887811e-14,SAFE,
-30,-30,-15,0.432484043915698,1.65880097499204,6.36110936292703e-15,SAFE,
-30,-30,-10,0.420275493913151,1.69149782993612,6.36110936292703e-15,SAFE,
-30,-30,-5,0.410695313734789,1.71494027383416,7.95138670365879e-15,SAFE,
-30,-30,0,0.408248290532745,1.73205080741259,6.36110936292703e-15,SAFE,
-30,-30,5,0.414696876804729,1.74834068305887,6.36110936292703e-15,SAFE,
-30,-30,10,0.429282834533741,1.76230008091139,6.36110936292703e-15,SAFE,
-30,-30,15,0.448908016437812,1.77307496575747,6.36110936292703e-15,SAFE,
-30,-30,20,0.468289513020209,1.78911112184494,9.54166404439055e-15,SAFE,
-30,-30,25,0.483331879945712,1.81723767808072,9.54166404439055e-15,SAFE,
-30,-30,30,0.494622180857644,1.85023273694419,1.27222187258541e-14,SAFE,
-30,-25,-30,0.45116401383532,1.46782900389298,1.27222187258541e-14,SAFE,
-30,-25,-25,0.442711706083053,1.49087065989826,3.18055468146352e-15,SAFE,
-30,-25,-20,0.43002737559855,1.53287639442161,6.36110936292703e-15,SAFE,
-30,-25,-15,0.409640121577372,1.59949997251582,6.36110936292703e-15,SAFE,
-30,-25,-10,0.388081437117921,1.66491223966098,1.27222187258541e-14,SAFE,
-30,-25,-5,0.372766037736898,1.70562516362353,3.18055468146352e-15,SAFE,
-30,-25,0,0.367660147693554,1.72484247220024,6.36110936292703e-15,SAFE,
-30,-25,5,0.37428845359305,1.73355353496296,1.27222187258541e-14,SAFE,
-30,-25,10,0.392109699104459,1.72799571877657,1.27222187258541e-14,SAFE,
-30,-25,15,0.418528992191976,1.70523505542589,6.36110936292703e-15,SAFE,
-30,-25,20,0.448231101850839,1.67843077646702,6.36110936292703e-15,SAFE,
-30,-25,25,0.472646883543208,1.6728658177597,3.18055468146352e-15,SAFE,
-30,-25,30,0.488000502065873,1.69491001512967,6.36110936292703e-15,SAFE,
-30,-20,-30,0.456203240165519,1.37088992940573,1.90833280887811e-14,SAFE,
-30,-20,-25,0.441359751774892,1.40158810883166,1.27222187258541e-14,SAFE,
-30,-20,-20,0.414629960165473,1.48125478549539,1.90833280887811e-14,SAFE,
-30,-20,-15,0.378480939323019,1.60668793323748,6.36110936292703e-15,SAFE,
-30,-20,-10,0.345422782970824,1.72946846826093,6.36110936292703e-15,SAFE,
-30,-20,-5,0.322817521319054,1.80834675081407,1.59027734073176e-14,SAFE,
-30,-20,0,0.314854187814139,1.83576431858331,6.36110936292703e-15,SAFE,
-30,-20,5,0.323183880752088,1.82920589162357,1.27222187258541e-14,SAFE,
-30,-20,10,0.34663584394888,1.78162375693134,6.36110936292703e-15,SAFE,
-30,-20,15,0.381726475631455,1.70072661017321,6.36110936292703e-15,SAFE,
-30,-20,20,0.42305888921761,1.61465342032858,6.36110936292703e-15,SAFE,
-30,-20,25,0.460858246905021,1.55834360583042,6.36110936292703e-15,SAFE,
-30,-20,30,0.483173227001836,1.55959781099614,1.27222187258541e-14,SAFE,
-30,-15,-30,0.464760786366939,1.28388052545874,6.36110936292703e-15,SAFE,
-30,-15,-25,0.440114428339777,1.33277753310587,6.36110936292703e-15,SAFE,
-30,-15,-20,0.392763335957596,1.4777974129094,9.54166404439055e-15,SAFE,
-30,-15,-15,0.339810225637004,1.69063216664139,1.27222187258541e-14,SAFE,
-30,-15,-10,0.293137933473551,1.92683822967581,9.54166404439055e-15,SAFE,
-30,-15,-5,0.26027824291455,2.11243959137198,1.27222187258541e-14,SAFE,
-30,-15,0,0.248246049465722,2.17399111531906,6.36110936292703e-15,SAFE,
-30,-15,5,0.260326940287993,2.12539950940999,6.36110936292703e-15,SAFE,
-30,-15,10,0.293356912034331,1.96453337719246,1.27222187258541e-14,SAFE,
-30,-15,15,0.340525140501018,1.76459141833902,6.36110936292703e-15,SAFE,
-30,-15,20,0.394965287927111,1.58988490062193,6.36110936292703e-15,SAFE,
-30,-15,25,0.448193740011879,1.46942583230096,9.54166404439055e-15,SAFE,
-30,-15,30,0.481265098006481,1.43856366059695,6.36110936292703e-15,SAFE,
-30,-10,-30,0.476308210565475,1.20807941860616,1.27222187258541e-14,SAFE,
-30,-10,-25,0.434452904780989,1.2917829844709,1.27222187258541e-14,SAFE,
-30,-10,-20,0.368106825594982,1.5034227698143,6.36110936292703e-15,SAFE,
-30,-10,-15,0.300364409766043,1.82651183158193,9.54166404439055e-15,SAFE,
-30,-10,-10,0.238003072576364,2.28001897313686,1.59027734073176e-14,SAFE,
-30,-10,-5,0.189951364512099,2.79314872715747,1.27222187258541e-14,SAFE,
-30,-10,0,0.17076934958533,3.02321425527234,1.43124960665858e-14,SAFE,
-30,-10,5,0.189954324968979,2.7998292775115,1.27222187258541e-14,SAFE,
-30,-10,10,0.238022994064884,2.30401014155152,1.74930507480493e-14,SAFE,
-30,-10,15,0.300444144463239,1.87686125486293,9.54166404439055e-15,SAFE,
-30,-10,20,0.368380347627327,1.58398684202534,1.27222187258541e-14,SAFE,
-30,-10,25,0.435767030312403,1.39918462553314,9.54166404439055e-15,SAFE,
-30,-10,30,0.483360184275257,1.32802930595248,6.36110936292703e-15,SAFE,
-30,-5,-30,0.488783046333809,1.15723273629557,1.27222187258541e-14,SAFE,
