Axis,ActualRmsError_deg,ActualPeakError_deg,MpcCommandRmsError_deg,MpcCommandPeakError_deg
Roll,1.19545444421513,20,0.466723938605158,5.41765193207459
Pitch,1.17858595697931,20,0.431927153696787,4.58304621494971
Yaw,1.3824594544573,20,0.383323676671496,3.66846160641279
