DrivenAxis,ReferencePreview,DrivenRmsError_deg,DrivenPeakError_deg,RollRmsError_deg,PitchRmsError_deg,YawRmsError_deg,AmplitudeRatio,PhaseLag_deg,PhaseLag_s,MaxCommandStep_deg,MaxMotorVelocity_deg_s,MaxMotorAcceleration_deg_s2,MinimumPoleDistance_deg,AcceptedUpdates,Fallbacks,Recoveries,StagnationResets,AverageControllerCall_s,WorstControllerCall_s,Pass
roll,1,0.205394233279155,0.417858037727405,0.205394233279155,0.0659898053174547,0.0773331773661262,0.964671875167523,-2.06748525724265,-0.028715073017259,0.253425729408253,13.7265605707541,71.3055441258038,27.7776464977514,0,0,0,0,NaN,NaN,0
pitch,1,0.226204622881859,0.424952136033392,0.0846992390626676,0.226204622881859,0.080522151844491,0.968125184300794,-2.7546846927147,-0.0382595096210375,0.276620084274198,12.2930865992144,66.3539296726735,24.8908220585217,0,0,0,0,NaN,NaN,0
yaw,1,0.231294154586562,0.434816360654277,0.0521606468941644,0.0739414536532675,0.231294154586562,0.963439746004839,-2.40117059184037,-0.0333495915533385,0.24866073699505,13.8786357572724,80.8824508125751,24.9407433655777,0,0,0,0,NaN,NaN,0
