DrivenAxis,DrivenRmsError_deg,DrivenPeakError_deg,RollRmsError_deg,PitchRmsError_deg,YawRmsError_deg,AmplitudeRatio,PhaseLag_deg,PhaseLag_s,MaxCommandStep_deg,MaxMotorVelocity_deg_s,MaxMotorAcceleration_deg_s2,MinimumPoleDistance_deg,AcceptedUpdates,Fallbacks,Recoveries,StagnationResets,AverageControllerCall_s,WorstControllerCall_s,Pass
roll,1.3090632750609,1.91156372672105,1.3090632750609,0.0307987308443881,0.0440899737352409,0.981897771812337,21.4397837953783,0.29777477493581,0.282674761952901,11.7425256641273,39.7932034773873,27.8500391916178,750,0,0,0,0.457370833466667,0.8049333,0
pitch,1.33116800148305,1.9443516553119,0.0592206846951935,1.33116800148305,0.0546870935716048,0.979532747123925,21.8428681943472,0.303373169365933,0.251434009405937,10.8102046626081,41.8115696045404,24.8751916790477,750,0,0,0,0.4141933176,0.6433932,0
yaw,1.32435510288415,1.92629150353191,0.0432612815942113,0.0546116833930944,1.32435510288415,0.981674555905017,21.707768936715,0.301496790787708,0.293746708962257,12.3145886107958,57.0490050125413,24.8787604037849,750,0,0,0,0.375674756266667,0.9536059,0
