Waypoint,ArrivalTime_s,HoldEndTime_s,TargetRoll_deg,TargetPitch_deg,TargetYaw_deg,ActualRoll_deg,ActualPitch_deg,ActualYaw_deg,RollError_deg,PitchError_deg,YawError_deg,PhysicalFinalError_deg
1,0,3,20,20,20,20.6614626469262,19.752390579848,20.5820338963324,-0.661462646926243,0.247609420152035,-0.582033896332394,1.04851776692105
2,3.02,6.02,26,20,20,25.6055865533537,20.0084769106247,20.3991739072619,0.394413446646251,-0.00847691062472577,-0.399173907261915,0.455253983336851
3,6.04,9.04,26,15,20,26.1871921652632,15.7644962643219,20.3991739072619,-0.187192165263205,-0.764496264321947,-0.399173907261915,0.904695407013629
4,9.06,12.06,26,15,24,26.1871921652632,15.2378145990799,23.6432079238543,-0.187192165263205,-0.237814599079929,0.356792076145652,0.429018474084243
5,12.08,15.08,26,18,27,26.2798897760695,17.717257757145,26.6888266542351,-0.279889776069453,0.282742242854976,0.311173345764939,0.449100711889141
